Age,Education,Marital_Status,No of adults,Income,Kidhome,Teenhome,Years joined,Dependency Ratio,Enrollment year,enrollment_Customer,Customer tenure(days),Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Expenditure_2yrs,Avg_Monthly _spend,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Engagement score,Campaign2,Complain,Z_CostContact,Z_Revenue,Response
74,Graduation,Single,1,,2,1,11,3,2014,1/1/14,4348,96,48,5,48,6,10,7,124,5.17,3,2,1,4,6,4.8,0,0,3,11,0
71,PhD,Married,2,72550,1,1,13,1,2012,11/8/12,4767,39,826,50,317,50,38,38,1319,54.96,9,5,2,12,8,10.4,0,0,3,11,0
68,Graduation,Widow,1,65486,0,1,11,1,2014,5/12/14,4217,29,245,19,125,37,67,14,507,21.13,1,4,2,10,2,6.8,0,0,3,11,0
61,Master,Married,2,79143,0,0,13,0,2012,8/11/12,4856,2,650,37,780,27,167,32,1693,70.54,1,6,9,13,3,9,0,0,3,11,0
48,Graduation,Single,1,35790,1,0,12,1,2013,1/2/13,4712,54,12,6,20,30,1,3,72,3.00,2,2,0,3,7,4.6,0,0,3,11,0
48,Graduation,Divorced,1,82582,0,0,11,0,2014,6/7/14,4191,54,510,120,550,156,40,241,1617,67.38,1,4,9,7,1,4.6,1,0,3,11,1
47,Graduation,Married,2,66373,1,1,12,1,2013,6/12/13,4551,57,328,9,124,12,24,109,606,25.25,7,4,2,10,3,7.2,0,0,3,11,0
70,Master,Together,2,82384,0,0,13,0,2012,11/19/12,4756,55,984,51,432,180,120,190,1957,81.54,1,3,10,13,1,8.2,1,0,3,11,1
59,Graduation,Divorced,1,70287,0,0,12,0,2013,4/2/13,4622,30,295,35,482,121,120,40,1093,45.54,1,5,5,10,3,7.2,0,0,3,11,1
37,Graduation,Single,1,27938,1,0,11,1,2014,4/28/14,4231,31,13,0,8,2,1,5,29,1.21,1,1,0,4,3,3.6,0,0,3,11,0
43,Graduation,Single,1,,1,0,12,1,2013,6/17/13,4546,57,11,3,22,2,2,6,46,1.92,2,2,0,3,6,4.2,0,0,3,11,0
57,PhD,Married,2,55954,0,1,11,0.5,2014,3/3/14,4287,63,447,0,28,0,0,43,518,21.58,3,8,2,6,7,6.4,0,0,3,11,0
43,Master,Single,1,75777,0,0,12,0,2013,7/4/13,4529,12,712,26,538,69,13,80,1438,59.92,1,3,6,11,1,7,1,0,3,11,1
50,Graduation,Together,2,66653,1,1,13,1,2012,9/7/12,4829,18,452,18,102,16,18,6,612,25.50,4,4,2,12,3,8.4,0,0,3,11,0
73,Graduation,Single,1,61823,0,1,12,1,2013,2/18/13,4665,26,523,7,134,37,14,169,884,36.83,4,8,2,10,7,8.8,0,0,3,11,0
74,PhD,Widow,1,67680,0,1,12,1,2013,6/11/13,4552,8,546,0,48,0,6,6,606,25.25,1,7,3,8,5,6.8,0,0,3,11,0
77,Graduation,Together,2,70666,0,0,12,0,2013,12/6/13,4374,29,398,40,367,119,122,30,1076,44.83,1,7,4,4,4,4,0,0,3,11,0
54,Graduation,Married,2,25721,1,0,12,0.5,2013,5/21/13,4573,75,1,3,6,3,6,15,34,1.42,1,1,1,2,7,4,0,0,3,11,1
58,Graduation,Together,2,32474,1,1,11,1,2014,5/11/14,4218,0,10,0,1,0,0,0,11,0.46,1,1,0,2,7,4,0,0,3,11,0
46,2n Cycle,Single,1,88194,0,1,11,1,2014,3/19/14,4271,19,688,14,309,201,24,38,1274,53.08,1,11,10,10,5,8,1,0,3,11,1
67,Graduation,Together,2,69096,0,1,12,0.5,2013,9/27/13,4444,4,247,49,159,7,82,109,653,27.21,1,5,2,10,4,7.6,0,0,3,11,0
55,Graduation,Together,2,74854,1,2,12,1.5,2013,4/8/13,4616,90,856,59,487,58,29,73,1562,65.08,7,2,5,5,5,5,0,0,3,11,0
71,Master,Married,2,66991,0,0,13,0,2012,9/11/12,4825,1,496,36,460,189,60,12,1253,52.21,3,4,8,6,3,4.8,0,0,3,11,0
52,2n Cycle,Married,2,,1,0,13,0.5,2012,9/14/12,4822,25,25,3,43,17,4,17,109,4.54,3,3,0,3,8,5,0,0,3,11,0
66,Graduation,Married,2,65031,0,1,12,0.5,2013,3/17/13,4638,29,258,107,291,84,37,86,863,35.96,4,10,3,13,7,10.6,0,0,3,11,0
50,PhD,Married,2,60631,1,1,12,1,2013,4/5/13,4619,88,565,6,65,0,6,19,661,27.54,5,9,2,8,7,7.6,1,0,3,11,0
73,Graduation,Married,2,28332,0,0,11,0,2014,4/30/14,4229,58,14,10,13,4,15,9,65,2.71,1,2,1,4,2,3.2,0,0,3,11,0
48,Graduation,Divorced,1,40246,1,0,13,1,2012,12/19/12,4726,68,2,1,6,2,1,1,13,0.54,1,1,0,2,6,3.6,0,0,3,11,0
53,Master,Married,2,75251,0,0,13,0,2012,8/27/12,4840,34,721,111,925,97,18,18,1890,78.75,1,7,6,5,5,5,0,0,3,11,1
49,Graduation,Single,1,75825,0,0,13,0,2012,10/12/12,4794,40,1032,105,779,137,105,51,2209,92.04,0,5,8,9,4,7,1,0,3,11,1
49,2n Cycle,Together,2,26326,0,0,12,0,2013,9/4/13,4467,12,1,0,5,0,3,9,18,0.75,1,0,0,3,3,3,0,1,3,11,0
60,Graduation,Together,2,56046,0,0,12,0,2013,1/2/13,4712,9,577,0,64,0,0,51,692,28.83,2,10,1,8,8,8,1,0,3,11,1
40,Graduation,Single,1,29760,1,0,13,1,2012,8/29/12,4838,87,64,4,68,7,5,17,165,6.88,4,3,1,4,8,5.6,0,0,3,11,0
56,Graduation,Married,2,26304,1,0,12,0.5,2013,6/23/13,4540,5,4,1,5,2,0,4,16,0.67,1,1,0,2,7,4,0,0,3,11,0
52,2n Cycle,Married,2,23559,1,0,12,0.5,2013,7/3/13,4530,87,25,5,19,7,0,23,79,3.29,3,3,0,3,7,4.6,0,0,3,11,0
62,Master,Together,2,38620,0,0,12,0,2013,5/11/13,4583,56,112,17,44,34,22,89,318,13.25,1,2,5,3,3,3,0,0,3,11,0
38,Graduation,Divorced,1,81361,0,0,11,0,2014,2/25/14,4293,18,163,23,424,27,65,76,778,32.42,1,3,10,13,1,8.2,0,0,3,11,0
65,Graduation,Married,2,29440,1,1,12,1,2013,8/11/13,4491,95,17,8,14,10,4,3,56,2.33,2,1,0,4,7,5.2,0,0,3,11,0
55,Master,Married,2,36138,1,1,12,1,2013,7/16/13,4517,48,130,0,16,0,0,5,151,6.29,5,3,1,4,7,5.2,1,0,3,11,0
68,Graduation,Single,1,50388,0,1,11,1,2014,5/28/14,4201,3,292,6,37,0,3,34,372,15.50,4,6,1,6,7,6.4,1,0,3,11,1
52,Graduation,Married,2,79593,0,0,11,0,2014,5/12/14,4217,70,350,60,568,110,133,145,1366,56.92,1,5,6,7,2,5,1,0,3,11,0
58,Graduation,Together,2,54178,0,1,11,0.5,2014,1/21/14,4328,79,135,9,39,4,0,7,194,8.08,1,2,2,5,2,3.8,0,0,3,11,0
68,PhD,Married,2,,2,1,13,1.5,2012,11/19/12,4756,4,230,42,192,49,37,53,603,25.13,12,7,2,8,9,8.4,0,0,3,11,0
68,Graduation,Single,1,,1,1,11,2,2014,5/27/14,4202,45,7,0,8,2,0,1,18,0.75,1,1,0,2,7,4,0,0,3,11,0
52,Master,Together,2,,0,0,12,0,2013,11/23/13,4387,87,445,37,359,98,28,18,985,41.04,1,2,4,8,1,5.2,0,0,3,11,0
53,Master,Single,1,42394,1,0,11,1,2014,3/23/14,4267,69,15,2,10,0,1,4,32,1.33,1,1,0,3,7,4.6,0,0,3,11,0
55,PhD,Married,2,23626,1,0,11,0.5,2014,5/24/14,4205,84,27,2,14,0,0,0,43,1.79,3,3,1,3,5,3.8,0,0,3,11,0
42,Graduation,Married,2,30096,1,0,11,0.5,2014,5/22/14,4207,30,5,3,11,12,5,9,45,1.88,1,2,0,3,6,4.2,0,0,3,11,0
65,Graduation,Widow,1,47916,0,1,13,1,2012,11/22/12,4753,72,505,0,26,0,0,75,606,25.25,5,7,4,6,6,6,1,0,3,11,0
53,Graduation,Divorced,1,51813,1,1,12,2,2013,4/11/13,4613,37,51,2,7,0,1,2,63,2.63,2,2,0,3,7,4.6,0,0,3,11,0
74,2n Cycle,Married,2,78497,0,0,12,0,2013,12/1/13,4379,44,207,26,447,75,0,223,978,40.75,1,5,7,12,2,8,1,0,3,11,0
42,PhD,Married,2,50150,0,0,12,0,2013,6/20/13,4543,32,135,46,92,65,61,11,410,17.08,2,5,2,7,5,6.2,0,0,3,11,0
65,2n Cycle,Single,1,47823,0,1,12,1,2013,7/23/13,4510,0,53,1,5,2,1,10,72,3.00,2,2,0,3,8,5,0,0,3,11,0
66,PhD,Single,1,34554,0,1,11,1,2014,3/30/14,4260,43,41,1,6,2,0,5,55,2.29,2,2,0,3,6,4.2,0,0,3,11,0
46,Graduation,Together,2,85693,0,1,12,0.5,2013,4/20/13,4604,59,386,172,183,185,132,111,1169,48.71,2,9,5,11,5,8.6,0,0,3,11,0
80,PhD,Married,2,65846,0,0,12,0,2013,5/17/13,4577,68,562,81,276,80,40,81,1120,46.67,1,6,3,6,4,5.2,0,0,3,11,0
66,Graduation,Married,2,87195,0,0,11,0,2014,5/8/14,4221,35,217,76,690,50,26,38,1097,45.71,1,3,11,5,1,3.4,0,0,3,11,1
46,Basic,Together,2,24594,1,0,12,0.5,2013,12/10/13,4370,94,1,3,6,10,0,9,29,1.21,1,1,0,3,5,3.8,0,0,3,11,0
61,Graduation,Married,2,49096,1,1,12,1,2013,9/24/13,4447,15,144,1,32,2,1,7,187,7.79,4,4,1,4,7,5.2,0,0,3,11,0
56,Graduation,Married,2,52413,0,2,12,1,2013,2/2/13,4681,56,295,106,271,75,98,65,910,37.92,4,6,4,12,6,9.6,0,0,3,11,0
47,Graduation,Single,1,38557,1,0,13,1,2012,12/19/12,4726,17,76,3,31,4,4,27,145,6.04,2,3,1,3,7,4.6,0,0,3,11,0
65,Master,Married,2,89058,0,0,13,0,2012,12/7/12,4738,18,454,194,106,31,22,43,850,35.42,1,5,4,4,2,3.2,0,0,3,11,0
46,Graduation,Together,2,77298,0,1,12,0.5,2013,11/2/13,4408,46,425,115,292,23,35,79,969,40.38,1,6,6,11,3,7.8,0,0,3,11,0
34,PhD,Single,1,68126,0,0,13,0,2012,11/10/12,4765,40,1332,17,311,23,51,86,1820,75.83,1,7,4,5,9,6.6,1,0,3,11,1
62,Master,Together,2,57288,0,1,11,0.5,2014,6/25/14,4173,27,527,0,21,0,0,60,608,25.33,3,8,1,8,6,7.2,1,0,3,11,0
34,Graduation,Single,1,86037,0,0,12,0,2013,1/2/13,4712,95,490,44,125,29,20,22,730,30.42,1,6,7,11,3,7.8,1,0,3,11,1
45,PhD,Married,2,43974,1,0,13,0.5,2012,12/12/12,4733,19,378,0,101,0,0,72,551,22.96,5,6,4,6,7,6.4,0,0,3,11,0
63,Graduation,Single,1,50785,1,1,12,2,2013,9/10/13,4461,27,64,1,21,0,1,27,114,4.75,2,2,1,3,6,4.2,0,0,3,11,0
55,Graduation,Married,2,90765,0,0,11,0,2014,1/24/14,4325,25,547,99,812,151,82,33,1724,71.83,0,4,6,5,1,3.4,1,0,3,11,0
47,2n Cycle,Married,2,36550,1,0,12,0.5,2013,2/19/13,4664,74,47,90,94,123,103,120,577,24.04,5,9,1,5,9,6.6,0,0,3,11,0
58,2n Cycle,Together,2,30753,1,1,12,1,2013,7/11/13,4522,85,12,5,25,0,9,30,81,3.38,2,1,1,3,5,3.8,0,0,3,11,0
56,Graduation,Together,2,21918,1,0,12,0.5,2013,11/14/13,4396,37,1,6,7,11,5,3,33,1.38,2,2,0,3,6,4.2,0,0,3,11,0
72,Master,Together,2,56129,0,1,12,0.5,2013,6/20/13,4543,65,320,48,133,39,72,48,660,27.50,4,6,2,10,4,7.6,0,0,3,11,0
58,Master,Single,1,32557,1,0,11,1,2014,2/24/14,4294,13,34,3,29,0,4,10,80,3.33,3,2,1,3,5,3.8,0,0,3,11,1
40,Master,Married,2,19510,2,0,12,1,2013,9/4/13,4467,63,9,0,7,3,4,7,30,1.25,2,1,0,3,7,4.6,0,0,3,11,0
49,Graduation,Divorced,1,30992,1,0,12,1,2013,4/22/13,4602,83,17,0,14,7,3,2,43,1.79,1,1,0,3,7,4.6,0,0,3,11,0
42,Graduation,Single,1,101970,0,0,12,0,2013,3/12/13,4643,69,722,27,102,44,72,168,1135,47.29,0,6,8,13,2,8.6,1,0,3,11,1
60,2n Cycle,Together,2,71488,0,0,12,0,2013,2/18/13,4665,87,162,33,124,40,28,172,559,23.29,2,3,4,7,1,4.6,0,0,3,11,0
41,Graduation,Single,1,79607,0,0,12,0,2013,4/21/13,4603,37,450,133,951,173,0,216,1923,80.13,1,3,6,6,1,4,0,0,3,11,1
72,Master,Married,2,54348,1,1,11,1,2014,6/8/14,4190,51,70,0,16,0,0,4,90,3.75,2,2,0,4,6,4.8,0,0,3,11,0
64,PhD,Married,2,,0,1,12,0.5,2013,7/11/13,4522,23,352,0,27,10,0,15,404,16.83,3,6,1,7,6,6.6,0,0,3,11,0
69,PhD,Together,2,77376,1,1,11,1,2014,5/10/14,4219,72,492,19,110,16,12,12,661,27.54,4,6,3,10,4,7.6,0,0,3,11,0
73,Graduation,Married,2,62998,0,1,12,0.5,2013,9/30/13,4441,10,120,58,73,65,89,58,463,19.29,5,5,4,5,5,5,0,0,3,11,0
67,Master,Alone,1,61331,1,1,12,2,2013,3/10/13,4645,42,534,5,47,0,5,41,632,26.33,5,11,1,6,8,6.8,0,0,3,11,0
56,Graduation,Married,2,73448,0,0,11,0,2014,2/10/14,4308,10,236,106,189,23,41,130,725,30.21,1,7,2,9,4,7,0,0,3,11,0
62,Graduation,Married,2,,0,1,12,0.5,2013,8/11/13,4491,96,231,65,196,38,71,124,725,30.21,1,6,5,7,4,5.8,0,0,3,11,0
61,PhD,Married,2,41551,1,1,12,1,2013,8/14/13,4488,51,220,0,33,3,0,23,279,11.63,5,5,1,5,8,6.2,0,0,3,11,0
58,PhD,Together,2,62981,0,0,12,0,2013,3/17/13,4638,21,796,14,590,38,44,0,1482,61.75,1,4,5,13,3,9,1,0,3,11,0
49,Basic,Divorced,1,9548,1,0,13,1,2012,8/8/12,4859,31,0,1,3,10,6,9,29,1.21,2,1,0,3,8,5,0,0,3,11,0
66,PhD,Married,2,33762,2,1,12,1.5,2013,7/7/13,4526,61,53,1,34,2,0,16,106,4.42,3,2,2,2,8,4.4,0,0,3,11,0
52,PhD,Alone,1,35860,1,1,11,2,2014,5/19/14,4210,37,15,0,8,4,2,20,49,2.04,2,1,1,2,5,3.2,1,0,3,11,1
60,PhD,Divorced,1,36921,1,1,12,2,2013,7/28/13,4505,74,17,1,12,3,1,4,38,1.58,2,2,0,3,7,4.6,0,0,3,11,0
33,Master,Single,1,92859,0,0,13,0,2012,10/19/12,4787,46,962,61,921,52,61,20,2077,86.54,1,5,4,12,2,8,0,0,3,11,0
49,Master,Together,2,65104,0,1,12,0.5,2013,11/14/13,4396,4,738,0,232,13,20,50,1053,43.88,2,3,5,7,7,7,0,0,3,11,1
63,Graduation,Married,2,86111,0,0,12,0,2013,4/19/13,4605,73,399,28,756,36,40,126,1385,57.71,1,5,7,10,2,6.8,0,0,3,11,0
51,PhD,Single,1,68352,0,1,12,1,2013,8/28/13,4474,47,614,16,132,43,33,33,871,36.29,3,8,5,9,6,7.8,0,0,3,11,0
37,Graduation,Together,2,41883,1,0,12,0.5,2013,3/19/13,4636,13,32,34,41,73,16,116,312,13.00,3,4,2,3,7,4.6,0,0,3,11,0
49,Graduation,Married,2,59809,0,2,13,1,2012,10/18/12,4788,36,598,16,141,32,41,49,877,36.54,3,3,3,6,8,6.8,0,0,3,11,0
50,Graduation,Married,2,23957,1,0,13,0.5,2012,10/28/12,4778,47,2,1,18,20,11,16,68,2.83,1,2,0,3,6,4.2,0,0,3,11,1
44,Graduation,Together,2,38547,1,0,12,0.5,2013,8/28/13,4474,49,6,1,10,0,1,4,22,0.92,1,1,0,2,8,4.4,0,1,3,11,0
52,2n Cycle,Married,2,35688,2,1,13,1.5,2012,8/22/12,4845,94,73,3,90,12,1,32,211,8.79,7,4,1,4,8,5.6,0,0,3,11,0
59,Master,Married,2,49605,0,0,11,0,2014,6/21/14,4177,65,42,16,29,12,20,8,127,5.29,1,2,1,4,3,3.6,0,0,3,11,0
72,Master,Married,2,59354,0,2,11,1,2014,4/24/14,4235,59,295,21,78,39,13,13,459,19.13,1,4,4,7,3,5.4,0,0,3,11,0
56,Graduation,Married,2,65747,0,1,11,0.5,2014,3/7/14,4283,96,346,17,48,23,13,13,460,19.17,4,8,1,6,6,6,1,0,3,11,0
53,2n Cycle,Together,2,46344,0,1,13,0.5,2012,12/14/12,4731,28,233,20,57,8,20,91,429,17.88,4,7,1,5,7,5.8,0,0,3,11,0
37,Graduation,Alone,1,34176,1,0,11,1,2014,5/12/14,4217,12,5,7,24,19,14,20,89,3.71,4,3,0,4,6,4.8,0,0,3,11,0
73,PhD,Together,2,61010,0,1,13,0.5,2012,10/9/12,4797,57,888,0,57,0,0,76,1021,42.54,2,8,5,11,5,8.6,0,0,3,11,0
76,Graduation,Together,2,69372,0,0,12,0,2013,2/19/13,4664,10,997,26,269,34,13,42,1381,57.54,1,10,4,6,4,5.2,1,0,3,11,1
67,Graduation,Single,1,49967,0,1,12,1,2013,7/8/13,4525,4,212,6,69,4,12,3,306,12.75,3,6,1,5,7,5.8,0,0,3,11,0
47,Graduation,Single,1,60199,1,2,12,3,2013,9/12/13,4459,49,8,1,7,2,0,0,18,0.75,1,0,0,3,4,3.4,0,0,3,11,0
48,Graduation,Together,2,55375,0,1,12,0.5,2013,10/17/13,4424,3,42,11,57,10,28,14,162,6.75,1,1,1,6,2,4.4,0,0,3,11,0
70,Graduation,Single,1,80317,0,0,12,0,2013,8/20/13,4482,64,536,11,387,149,91,57,1231,51.29,1,3,4,10,1,6.4,0,0,3,11,0
67,Master,Single,1,30523,2,1,12,3,2013,7/1/13,4532,0,5,0,3,0,0,5,13,0.54,1,1,0,2,7,4,0,0,3,11,0
80,PhD,Married,2,70356,0,0,13,0,2012,11/5/12,4770,20,1349,16,249,43,16,33,1706,71.08,2,10,6,9,6,7.8,0,0,3,11,0
41,Graduation,Married,2,23228,1,0,11,0.5,2014,1/5/14,4344,91,53,3,49,7,4,5,121,5.04,4,3,0,4,8,5.6,0,0,3,11,0
50,PhD,Divorced,1,74165,0,0,12,0,2013,5/1/13,4593,9,1001,12,240,16,12,12,1293,53.88,1,5,4,10,2,6.8,0,0,3,11,0
52,PhD,Married,2,157243,0,1,11,0.5,2014,3/1/14,4289,98,20,2,1582,1,2,1,1608,67.00,15,0,22,0,0,0,0,0,3,11,0
59,Graduation,Together,2,43482,2,1,12,1.5,2013,11/13/13,4397,83,18,1,32,6,3,28,88,3.67,3,2,0,4,6,4.8,0,0,3,11,0
72,Graduation,Divorced,1,62551,0,0,12,0,2013,11/18/13,4392,27,125,16,98,134,21,27,421,17.54,1,6,7,4,3,3.6,1,0,3,11,0
66,Graduation,Divorced,1,52332,0,0,12,0,2013,8/28/13,4474,63,212,5,33,7,0,2,259,10.79,1,3,2,6,4,5.2,1,0,3,11,0
37,Graduation,Single,1,66951,0,0,12,0,2013,11/2/13,4408,46,277,162,305,173,76,124,1117,46.54,1,3,4,7,1,4.6,0,0,3,11,0
68,Graduation,Together,2,26091,1,1,11,1,2014,2/25/14,4293,84,15,10,19,8,17,20,89,3.71,3,2,1,3,5,3.8,0,0,3,11,0
